League Code,League Name,Country,Team ID,Team Name (Raw),Canonical Name,Created At
DK1,Superliga,Denmark,658,Schalke 04,schalke 04,2025-12-29T06:55:10.802688+03:00
DK1,Superliga,Denmark,659,St Pauli,st pauli,2025-12-29T06:55:10.806969+03:00
DK1,Superliga,Denmark,660,Stuttgart,stuttgart,2025-12-29T06:55:10.811604+03:00
DK1,Superliga,Denmark,661,Union Berlin,union berlin,2025-12-29T06:55:10.815463+03:00
DK1,Superliga,Denmark,662,Werder Bremen,werder bremen,2025-12-29T06:55:10.820005+03:00
DK1,Superliga,Denmark,663,Wolfsburg,wolfsburg,2025-12-29T06:55:10.827879+03:00
E0,Premier League,England,18,Arsenal,arsenal,2025-12-29T06:55:07.812138+03:00
E0,Premier League,England,19,Aston Villa,aston villa,2025-12-29T06:55:07.834151+03:00
E0,Premier League,England,20,Bournemouth,bournemouth,2025-12-29T06:55:07.838797+03:00
E0,Premier League,England,21,Brentford,brentford,2025-12-29T06:55:07.842669+03:00
E0,Premier League,England,22,Brighton,brighton,2025-12-29T06:55:07.846897+03:00
E0,Premier League,England,23,Burnley,burnley,2025-12-29T06:55:07.851106+03:00
E0,Premier League,England,24,Chelsea,chelsea,2025-12-29T06:55:07.856694+03:00
E0,Premier League,England,25,Crystal Palace,crystal palace,2025-12-29T06:55:07.864747+03:00
E0,Premier League,England,26,Everton,everton,2025-12-29T06:55:07.869818+03:00
E0,Premier League,England,27,Fulham,fulham,2025-12-29T06:55:07.875098+03:00
E0,Premier League,England,28,Ipswich,ipswich,2025-12-29T06:55:07.878805+03:00
E0,Premier League,England,29,Leeds,leeds,2025-12-29T06:55:07.882518+03:00
E0,Premier League,England,30,Leicester,leicester,2025-12-29T06:55:07.887352+03:00
E0,Premier League,England,31,Liverpool,liverpool,2025-12-29T06:55:07.894795+03:00
E0,Premier League,England,32,Luton,luton,2025-12-29T06:55:07.899450+03:00
E0,Premier League,England,33,Man City,man city,2025-12-29T06:55:07.904553+03:00
E0,Premier League,England,34,Newcastle,newcastle,2025-12-29T06:55:07.908987+03:00
E0,Premier League,England,35,Norwich,norwich,2025-12-29T06:55:07.914585+03:00
E0,Premier League,England,36,Nott'm Forest,nottm forest,2025-12-29T06:55:07.918322+03:00
E0,Premier League,England,37,Sheffield United,sheffield united,2025-12-29T06:55:07.922344+03:00
E0,Premier League,England,38,Southampton,southampton,2025-12-29T06:55:07.927911+03:00
E0,Premier League,England,39,Sunderland,sunderland,2025-12-29T06:55:07.932457+03:00
E0,Premier League,England,40,Tottenham,tottenham,2025-12-29T06:55:07.937047+03:00
E0,Premier League,England,41,Watford,watford,2025-12-29T06:55:07.941874+03:00
E0,Premier League,England,42,West Brom,west brom,2025-12-29T06:55:07.946814+03:00
E0,Premier League,England,43,Wolves,wolves,2025-12-29T06:55:07.951686+03:00
E1,Championship,England,44,Barnsley,barnsley,2025-12-29T06:55:07.959370+03:00
E1,Championship,England,45,Birmingham,birmingham,2025-12-29T06:55:07.966003+03:00
E1,Championship,England,46,Blackburn,blackburn,2025-12-29T06:55:07.972765+03:00
E1,Championship,England,47,Blackpool,blackpool,2025-12-29T06:55:07.977446+03:00
E1,Championship,England,48,Bournemouth,bournemouth,2025-12-29T06:55:07.981739+03:00
E1,Championship,England,49,Brentford,brentford,2025-12-29T06:55:07.986455+03:00
E1,Championship,England,50,Bristol City,bristol city,2025-12-29T06:55:07.990609+03:00
E1,Championship,England,51,Cardiff,cardiff,2025-12-29T06:55:07.994460+03:00
E1,Championship,England,52,Charlton,charlton,2025-12-29T06:55:07.998927+03:00
E1,Championship,England,53,Coventry,coventry,2025-12-29T06:55:08.002239+03:00
E1,Championship,England,54,Derby,derby,2025-12-29T06:55:08.005769+03:00
E1,Championship,England,55,Fulham,fulham,2025-12-29T06:55:08.009743+03:00
E1,Championship,England,56,Huddersfield,huddersfield,2025-12-29T06:55:08.013799+03:00
E1,Championship,England,57,Hull,hull,2025-12-29T06:55:08.017649+03:00
E1,Championship,England,58,Ipswich,ipswich,2025-12-29T06:55:08.022437+03:00
E1,Championship,England,59,Leeds,leeds,2025-12-29T06:55:08.027271+03:00
E1,Championship,England,60,Leicester,leicester,2025-12-29T06:55:08.031038+03:00
E1,Championship,England,61,Luton,luton,2025-12-29T06:55:08.035218+03:00
E1,Championship,England,62,Middlesbrough,middlesbrough,2025-12-29T06:55:08.039392+03:00
E1,Championship,England,63,Millwall,millwall,2025-12-29T06:55:08.044241+03:00
E1,Championship,England,64,Norwich,norwich,2025-12-29T06:55:08.048454+03:00
E1,Championship,England,65,Nott'm Forest,nottm forest,2025-12-29T06:55:08.052323+03:00
E1,Championship,England,66,Oxford,oxford,2025-12-29T06:55:08.056575+03:00
E1,Championship,England,67,Peterboro,peterboro,2025-12-29T06:55:08.062017+03:00
E1,Championship,England,68,Plymouth,plymouth,2025-12-29T06:55:08.067121+03:00
E1,Championship,England,69,Portsmouth,portsmouth,2025-12-29T06:55:08.071946+03:00
E1,Championship,England,70,Preston,preston,2025-12-29T06:55:08.077380+03:00
E1,Championship,England,71,QPR,qpr,2025-12-29T06:55:08.082291+03:00
E1,Championship,England,72,Reading,reading,2025-12-29T06:55:08.087509+03:00
E1,Championship,England,73,Rotherham,rotherham,2025-12-29T06:55:08.092219+03:00
E1,Championship,England,74,Sheffield United,sheffield united,2025-12-29T06:55:08.096898+03:00
E1,Championship,England,75,Southampton,southampton,2025-12-29T06:55:08.101162+03:00
E1,Championship,England,76,Stoke,stoke,2025-12-29T06:55:08.108655+03:00
E1,Championship,England,77,Sunderland,sunderland,2025-12-29T06:55:08.113558+03:00
E1,Championship,England,78,Swansea,swansea,2025-12-29T06:55:08.118683+03:00
E1,Championship,England,79,Watford,watford,2025-12-29T06:55:08.125342+03:00
E1,Championship,England,80,West Brom,west brom,2025-12-29T06:55:08.130007+03:00
E1,Championship,England,81,Wigan,wigan,2025-12-29T06:55:08.134790+03:00
E1,Championship,England,82,Wrexham,wrexham,2025-12-29T06:55:08.141236+03:00
E1,Championship,England,83,Wycombe,wycombe,2025-12-29T06:55:08.146040+03:00
E2,League One,England,85,Accrington,accrington,2025-12-29T06:55:08.159966+03:00
E2,League One,England,84,AFC Wimbledon,afc wimbledon,2025-12-29T06:55:08.151189+03:00
E2,League One,England,86,Barnsley,barnsley,2025-12-29T06:55:08.163957+03:00
E2,League One,England,87,Birmingham,birmingham,2025-12-29T06:55:08.167492+03:00
E2,League One,England,88,Blackpool,blackpool,2025-12-29T06:55:08.170765+03:00
E2,League One,England,89,Bolton,bolton,2025-12-29T06:55:08.176866+03:00
E2,League One,England,90,Bradford,bradford,2025-12-29T06:55:08.180819+03:00
E2,League One,England,91,Bristol Rvs,bristol rvs,2025-12-29T06:55:08.184566+03:00
E2,League One,England,92,Burton,burton,2025-12-29T06:55:08.188890+03:00
E2,League One,England,93,Cambridge,cambridge,2025-12-29T06:55:08.193147+03:00
E2,League One,England,94,Cardiff,cardiff,2025-12-29T06:55:08.197304+03:00
E2,League One,England,95,Carlisle,carlisle,2025-12-29T06:55:08.201804+03:00
E2,League One,England,96,Charlton,charlton,2025-12-29T06:55:08.207211+03:00
E2,League One,England,97,Cheltenham,cheltenham,2025-12-29T06:55:08.211793+03:00
E2,League One,England,98,Coventry,coventry,2025-12-29T06:55:08.215926+03:00
E2,League One,England,99,Crawley Town,crawley town,2025-12-29T06:55:08.221055+03:00
E2,League One,England,100,Crewe,crewe,2025-12-29T06:55:08.226273+03:00
E2,League One,England,101,Derby,derby,2025-12-29T06:55:08.230473+03:00
E2,League One,England,102,Doncaster,doncaster,2025-12-29T06:55:08.234054+03:00
E2,League One,England,103,Exeter,exeter,2025-12-29T06:55:08.238281+03:00
E2,League One,England,104,Fleetwood Town,fleetwood town,2025-12-29T06:55:08.244228+03:00
E2,League One,England,105,Forest Green,forest green,2025-12-29T06:55:08.249148+03:00
E2,League One,England,106,Huddersfield,huddersfield,2025-12-29T06:55:08.254200+03:00
E2,League One,England,107,Hull,hull,2025-12-29T06:55:08.261550+03:00
E2,League One,England,108,Ipswich,ipswich,2025-12-29T06:55:08.265761+03:00
E2,League One,England,109,Leyton Orient,leyton orient,2025-12-29T06:55:08.271705+03:00
E2,League One,England,110,Lincoln,lincoln,2025-12-29T06:55:08.276217+03:00
E2,League One,England,111,Mansfield,mansfield,2025-12-29T06:55:08.280222+03:00
E2,League One,England,112,Milton Keynes Dons,milton keynes dons,2025-12-29T06:55:08.285898+03:00
E2,League One,England,113,Morecambe,morecambe,2025-12-29T06:55:08.290859+03:00
E2,League One,England,114,Northampton,northampton,2025-12-29T06:55:08.295544+03:00
E2,League One,England,115,Oxford,oxford,2025-12-29T06:55:08.300781+03:00
E2,League One,England,116,Peterboro,peterboro,2025-12-29T06:55:08.305742+03:00
E2,League One,England,117,Plymouth,plymouth,2025-12-29T06:55:08.313208+03:00
E2,League One,England,118,Port Vale,port vale,2025-12-29T06:55:08.318406+03:00
E2,League One,England,119,Portsmouth,portsmouth,2025-12-29T06:55:08.323740+03:00
E2,League One,England,120,Reading,reading,2025-12-29T06:55:08.328923+03:00
E2,League One,England,121,Rochdale,rochdale,2025-12-29T06:55:08.333624+03:00
E2,League One,England,122,Rotherham,rotherham,2025-12-29T06:55:08.338441+03:00
E2,League One,England,123,Sheffield Weds,sheffield weds,2025-12-29T06:55:08.344705+03:00
E2,League One,England,124,Shrewsbury,shrewsbury,2025-12-29T06:55:08.349855+03:00
E2,League One,England,125,Southend,southend,2025-12-29T06:55:08.354774+03:00
E2,League One,England,126,Stevenage,stevenage,2025-12-29T06:55:08.361128+03:00
E2,League One,England,127,Stockport,stockport,2025-12-29T06:55:08.366147+03:00
E2,League One,England,128,Sunderland,sunderland,2025-12-29T06:55:08.371336+03:00
E2,League One,England,129,Swindon,swindon,2025-12-29T06:55:08.377191+03:00
E2,League One,England,130,Tranmere,tranmere,2025-12-29T06:55:08.382782+03:00
E2,League One,England,131,Wigan,wigan,2025-12-29T06:55:08.388505+03:00
E2,League One,England,132,Wrexham,wrexham,2025-12-29T06:55:08.394804+03:00
E2,League One,England,133,Wycombe,wycombe,2025-12-29T06:55:08.399976+03:00
E3,League Two,England,135,Accrington,accrington,2025-12-29T06:55:08.411751+03:00
E3,League Two,England,134,AFC Wimbledon,afc wimbledon,2025-12-29T06:55:08.405881+03:00
E3,League Two,England,136,Barnet,barnet,2025-12-29T06:55:08.415191+03:00
E3,League Two,England,137,Barrow,barrow,2025-12-29T06:55:08.418189+03:00
E3,League Two,England,138,Bolton,bolton,2025-12-29T06:55:08.422125+03:00
E3,League Two,England,139,Bradford,bradford,2025-12-29T06:55:08.426021+03:00
E3,League Two,England,140,Bristol Rvs,bristol rvs,2025-12-29T06:55:08.431404+03:00
E3,League Two,England,141,Bromley,bromley,2025-12-29T06:55:08.435290+03:00
E3,League Two,England,142,Cambridge,cambridge,2025-12-29T06:55:08.438745+03:00
E3,League Two,England,143,Carlisle,carlisle,2025-12-29T06:55:08.443217+03:00
E3,League Two,England,144,Cheltenham,cheltenham,2025-12-29T06:55:08.447107+03:00
E3,League Two,England,145,Chesterfield,chesterfield,2025-12-29T06:55:08.451245+03:00
E3,League Two,England,146,Colchester,colchester,2025-12-29T06:55:08.456261+03:00
E3,League Two,England,147,Crawley Town,crawley town,2025-12-29T06:55:08.462133+03:00
E3,League Two,England,148,Crewe,crewe,2025-12-29T06:55:08.466426+03:00
E3,League Two,England,149,Doncaster,doncaster,2025-12-29T06:55:08.472432+03:00
E3,League Two,England,150,Exeter,exeter,2025-12-29T06:55:08.477048+03:00
E3,League Two,England,151,Fleetwood Town,fleetwood town,2025-12-29T06:55:08.481241+03:00
E3,League Two,England,152,Forest Green,forest green,2025-12-29T06:55:08.485140+03:00
E3,League Two,England,153,Gillingham,gillingham,2025-12-29T06:55:08.492017+03:00
E3,League Two,England,154,Grimsby,grimsby,2025-12-29T06:55:08.496424+03:00
E3,League Two,England,155,Harrogate,harrogate,2025-12-29T06:55:08.500417+03:00
E3,League Two,England,156,Hartlepool,hartlepool,2025-12-29T06:55:08.507753+03:00
E3,League Two,England,157,Leyton Orient,leyton orient,2025-12-29T06:55:08.512495+03:00
E3,League Two,England,158,Macclesfield,macclesfield,2025-12-29T06:55:08.516903+03:00
E3,League Two,England,159,Milton Keynes Dons,milton keynes dons,2025-12-29T06:55:08.521298+03:00
E3,League Two,England,160,Morecambe,morecambe,2025-12-29T06:55:08.528460+03:00
E3,League Two,England,161,Newport County,newport county,2025-12-29T06:55:08.533025+03:00
E3,League Two,England,162,Northampton,northampton,2025-12-29T06:55:08.537581+03:00
E3,League Two,England,163,Oldham,oldham,2025-12-29T06:55:08.543068+03:00
E3,League Two,England,164,Plymouth,plymouth,2025-12-29T06:55:08.550065+03:00
