Date,Div,HomeTeam,AwayTeam,FTHG,FTAG,FTR,season,league_id,home_team_id,away_team_id,TotalGoals,GoalDifference,Year,Month,DayOfWeek,is_high_scoring_match,is_very_high_scoring
2018-03-02,CHN1,Changchun Yatai,Guangzhou Evergrande,3,2,H,1819,45,9594,9634,5,1,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Beijing Guoan,Jiāngsū Sūníng,3,1,H,1819,45,9596,9639,4,2,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Tianjin Teda,Henan Jianye,2,0,H,1819,45,9641,9638,2,2,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Dalian Yingbo,Guangzhou City,3,0,H,1819,45,9600,9622,3,3,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Beijing Guoan,Shandong Taishan,1,1,D,1819,45,9596,9601,2,0,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Guangzhou City,Guangzhou Evergrande,2,4,A,1819,45,9622,9634,6,-2,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Hebei China Fortune,Tianjin Teda,1,2,A,1819,45,9636,9641,3,-1,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Dalian Yingbo,Shanghai Port FC,1,0,H,1819,45,9600,9605,1,1,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Jiāngsū Sūníng,Guizhou Hengfeng,3,1,H,1819,45,9639,9646,4,2,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Beijing Renhe FC,Chongqing Lifan,1,1,D,1819,45,9644,9640,2,0,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Tianjin Quanjian FC,Henan Jianye,1,2,A,1819,45,9645,9638,3,-1,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Changchun Yatai,Shanghai Shenhua,1,1,D,1819,45,9594,9593,2,0,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Beijing Guoan,Hebei China Fortune,6,3,H,1819,45,9596,9636,9,3,2018.0,3.0,4.0,1,0
2018-03-02,CHN1,Tianjin Teda,Guangzhou Evergrande,0,3,A,1819,45,9641,9634,3,-3,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Shanghai Port FC,Tianjin Quanjian FC,4,1,H,1819,45,9605,9645,5,3,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Chongqing Lifan,Guizhou Hengfeng,3,4,A,1819,45,9640,9646,7,-1,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Henan Jianye,Jiāngsū Sūníng,0,1,A,1819,45,9638,9639,1,-1,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Guangzhou City,Beijing Renhe FC,4,1,H,1819,45,9622,9644,5,3,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Shandong Taishan,Shanghai Shenhua,3,1,H,1819,45,9601,9593,4,2,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Changchun Yatai,Dalian Yingbo,3,0,H,1819,45,9594,9600,3,3,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Tianjin Quanjian FC,Changchun Yatai,2,0,H,1819,45,9645,9594,2,2,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Guangzhou Evergrande,Chongqing Lifan,5,0,H,1819,45,9634,9640,5,5,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Shanghai Shenhua,Beijing Guoan,2,2,D,1819,45,9593,9596,4,0,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Jiāngsū Sūníng,Shandong Taishan,1,1,D,1819,45,9639,9601,2,0,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Hebei China Fortune,Guangzhou City,2,2,D,1819,45,9636,9622,4,0,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Guizhou Hengfeng,Henan Jianye,1,2,A,1819,45,9646,9638,3,-1,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Dalian Yingbo,Tianjin Teda,2,3,A,1819,45,9600,9641,5,-1,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Beijing Renhe FC,Shanghai Port FC,1,5,A,1819,45,9644,9605,6,-4,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Shanghai Port FC,Guangzhou Evergrande,2,1,H,1819,45,9605,9634,3,1,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Beijing Guoan,Tianjin Quanjian FC,3,2,H,1819,45,9596,9645,5,1,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Henan Jianye,Shanghai Shenhua,2,2,D,1819,45,9638,9593,4,0,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Hebei China Fortune,Jiāngsū Sūníng,0,0,D,1819,45,9636,9639,0,0,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Guangzhou City,Guizhou Hengfeng,1,1,D,1819,45,9622,9646,2,0,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Beijing Renhe FC,Dalian Yingbo,3,1,H,1819,45,9644,9600,4,2,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Tianjin Teda,Chongqing Lifan,1,2,A,1819,45,9641,9640,3,-1,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Changchun Yatai,Shandong Taishan,1,2,A,1819,45,9594,9601,3,-1,2018.0,3.0,4.0,0,0
2018-03-02,CHN1,Beijing Guoan,Henan Jianye,2,1,H,1819,45,9596,9638,3,1,2018.0,3.0,4.0,0,0
