Date,Div,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,season,league_id,home_team_id,away_team_id,prob_home_market,prob_draw_market,prob_away_market,TotalGoals,GoalDifference,Overround,Year,Month,DayOfWeek,is_extreme_favorite_home,is_extreme_favorite_away,is_mismatch,is_high_scoring_match,is_very_high_scoring,draw_prob_category,has_extreme_draw_odds,has_extreme_home_odds,has_extreme_away_odds,home_team_strength_category,away_team_strength_category
2022-08-28,I1,Verona,Atalanta,0,1,A,4.3,3.94,1.8,2223,4,336,306,0.2232013596021905,0.2435953924592434,0.5332032479385662,1,-1,0.0419208016894239,2022.0,8.0,6.0,0,0,0,0,0,medium,0,0,0,medium,strong
2022-08-30,I1,Sassuolo,Milan,0,0,D,5.45,4.29,1.6,2223,4,330,322,0.1761603510888116,0.2237934530149238,0.6000461958962646,0,0,0.041586471632343,2022.0,8.0,1.0,0,0,0,0,0,medium,0,0,0,medium,strong
2022-08-30,I1,Inter,Cremonese,3,1,H,1.14,9.13,18.79,2223,4,318,312,0.8435019901023445,0.1053222638243891,0.0511757460732662,4,2,0.0399418054125848,2022.0,8.0,1.0,0,0,0,0,0,low,0,0,0,strong,medium
2022-08-30,I1,Roma,Monza,3,0,H,1.3,5.89,10.0,2223,4,327,323,0.7403496863883755,0.1634048543811355,0.0962454592304888,3,3,0.0390100561577642,2022.0,8.0,1.0,0,0,0,0,0,medium,0,0,0,strong,medium
2022-08-31,I1,Udinese,Fiorentina,1,0,H,2.71,3.47,2.58,2223,4,334,315,0.3531862348657295,0.2758313246357715,0.3709824404984988,1,1,0.0447850273020524,2022.0,8.0,2.0,0,0,0,0,0,medium,0,0,0,medium,strong
2022-08-31,I1,Napoli,Lecce,1,1,D,1.26,6.24,10.99,2223,4,324,321,0.7595478438851934,0.1533702377075871,0.0870819184072196,2,0,0.0448990146442374,2022.0,8.0,2.0,0,0,0,0,0,medium,0,0,0,strong,medium
2022-08-31,I1,Juventus,Spezia,2,0,H,1.27,5.79,11.84,2223,4,319,332,0.7538026273397718,0.1653418543560466,0.0808555183041816,2,2,0.0445726059379112,2022.0,8.0,2.0,0,0,0,0,0,medium,0,0,0,strong,medium
2022-08-31,I1,Empoli,Verona,1,1,D,2.69,3.36,2.66,2223,4,314,336,0.3556347835775166,0.2847195142331903,0.359645702189293,2,0,0.0453061091390185,2022.0,8.0,2.0,0,0,0,0,0,medium,0,0,0,medium,strong
2022-08-31,I1,Sampdoria,Lazio,1,1,D,4.11,3.67,1.89,2223,4,329,320,0.2328562939985698,0.2607736698458099,0.5063700361556204,2,0,0.0448890955663165,2022.0,8.0,2.0,0,0,0,0,0,medium,0,0,0,medium,strong
2022-09-01,I1,Atalanta,Torino,3,1,H,1.71,3.94,4.95,2223,4,306,333,0.5619667539742226,0.2438992764710458,0.1941339695547314,4,2,0.0406226302566137,2022.0,9.0,3.0,0,0,0,0,0,medium,0,0,0,strong,medium
2022-09-01,I1,Bologna,Salernitana,1,1,D,1.88,3.57,4.26,2223,4,308,328,0.5081493955614362,0.2675968805757703,0.2242537238627934,2,0,0.046768722472507,2022.0,9.0,3.0,0,0,0,0,0,medium,0,0,0,strong,medium
2022-09-03,I1,Lazio,Napoli,1,2,A,2.93,3.56,2.38,2223,4,320,324,0.3274258994473856,0.2694825520732697,0.4030915484793446,3,-1,0.0423638719590302,2022.0,9.0,5.0,0,0,0,0,0,medium,0,0,0,medium,strong
2022-09-03,I1,Fiorentina,Juventus,1,1,D,3.06,3.22,2.46,2223,4,315,319,0.3130661607778042,0.2975100782546834,0.3894237609675124,2,0,0.0438604568727454,2022.0,9.0,5.0,0,0,0,0,0,medium,0,0,0,medium,strong
2022-09-03,I1,Milan,Inter,3,2,H,2.79,3.3,2.63,2223,4,322,318,0.3440811617645309,0.2909049822191034,0.3650138560163655,5,1,0.0416813789805328,2022.0,9.0,5.0,0,0,0,0,0,medium,0,0,0,medium,strong
2022-09-04,I1,Udinese,Roma,4,0,H,4.01,3.68,1.92,2223,4,334,327,0.2393366213213376,0.2607988726898271,0.4998645059888353,4,4,0.0419490223716072,2022.0,9.0,6.0,0,0,0,0,0,medium,0,0,0,medium,strong
2022-09-04,I1,Cremonese,Sassuolo,0,0,D,3.05,3.53,2.31,2223,4,312,330,0.3140339594012239,0.2713324578395844,0.4146335827591917,0,0,0.0440554043396193,2022.0,9.0,6.0,0,0,0,0,0,medium,0,0,0,medium,strong
2022-09-04,I1,Spezia,Bologna,2,2,D,3.04,3.27,2.45,2223,4,332,308,0.3154096605158207,0.2932248831706712,0.3913654563135081,4,0,0.0429210312806918,2022.0,9.0,6.0,0,0,0,0,0,medium,0,0,0,medium,strong
2022-09-04,I1,Verona,Sampdoria,2,1,H,2.06,3.53,3.64,2223,4,336,329,0.4652237195594401,0.2714903292613163,0.2632859511792435,3,1,0.0434482869093282,2022.0,9.0,6.0,0,0,0,0,0,medium,0,0,0,medium,medium
2022-09-05,I1,Salernitana,Empoli,2,2,D,2.27,3.43,3.21,2223,4,328,314,0.4221239039838056,0.2793647994295156,0.2985112965866787,4,0,0.0436003036163854,2022.0,9.0,0.0,0,0,0,0,0,medium,0,0,0,medium,medium
2022-09-05,I1,Monza,Atalanta,0,2,A,5.64,4.3,1.58,2223,4,323,306,0.1700319341695614,0.2230186299340294,0.6069494358964092,2,-2,0.042774496478954,2022.0,9.0,0.0,0,0,0,0,0,medium,0,0,0,medium,strong
2022-09-05,I1,Torino,Lecce,1,0,H,1.73,3.7,5.11,2223,4,333,321,0.5536732428847116,0.2588796514028516,0.1874471057124366,1,1,0.0439996685938566,2022.0,9.0,0.0,0,0,0,0,0,medium,0,0,0,strong,medium
2022-09-10,I1,Inter,Torino,1,0,H,1.45,4.77,7.01,2223,4,318,333,0.6618875782630986,0.2012027229520949,0.1369096987848064,1,1,0.0419521306375945,2022.0,9.0,5.0,0,0,0,0,0,medium,0,0,0,strong,medium
2022-09-10,I1,Napoli,Spezia,1,0,H,1.26,6.27,11.33,2223,4,324,332,0.7620986299430027,0.1531490069741919,0.0847523630828052,1,1,0.0414016801344343,2022.0,9.0,5.0,0,0,0,0,0,medium,0,0,0,strong,medium
2022-09-10,I1,Sampdoria,Milan,1,2,A,6.31,4.37,1.52,2223,4,329,322,0.1516242355900594,0.2189356811380491,0.6294400832718914,3,-1,0.045206294175458,2022.0,9.0,5.0,0,0,0,0,0,medium,0,0,0,medium,strong
2022-09-11,I1,Lazio,Verona,2,0,H,1.59,4.23,5.51,2223,4,320,336,0.6007980636130937,0.2258318962517302,0.1733700401351759,2,2,0.0468256402621933,2022.0,9.0,6.0,0,0,0,0,0,medium,0,0,0,strong,medium
2022-09-11,I1,Atalanta,Cremonese,1,1,D,1.33,5.44,9.28,2223,4,306,312,0.7205627112450899,0.176166986388965,0.103270302365945,2,0,0.0434618493495402,2022.0,9.0,6.0,0,0,0,0,0,medium,0,0,0,strong,medium
2022-09-11,I1,Bologna,Fiorentina,2,1,H,2.97,3.4,2.42,2223,4,308,315,0.3224971975510907,0.2817107872725705,0.3957920151763387,3,1,0.044041124255028,2022.0,9.0,6.0,0,0,0,0,0,medium,0,0,0,medium,strong
2022-09-11,I1,Lecce,Monza,1,1,D,2.3,3.35,3.21,2223,4,321,323,0.4161329644177002,0.2857032293017046,0.2981638062805952,2,0,0.044816551132998,2022.0,9.0,6.0,0,0,0,0,0,medium,0,0,0,medium,medium
2022-09-11,I1,Sassuolo,Udinese,1,3,A,2.69,3.51,2.58,2223,4,330,334,0.355996367624686,0.2728291250456995,0.3711745073296144,4,-2,0.0442443960210019,2022.0,9.0,6.0,0,0,0,0,0,medium,0,0,0,medium,strong
